time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-18 00:00:00+00:00,0,0,5,1
2024-08-19 00:00:00+00:00,0,0,4,2
2024-08-20 00:00:00+00:00,0,0,99,2
2024-08-21 00:00:00+00:00,0,0,38,2
2024-08-22 00:00:00+00:00,0,0,34,2
2024-08-23 00:00:00+00:00,0,0,77,4
2024-08-26 00:00:00+00:00,0,0,19,1
2024-08-27 00:00:00+00:00,0,0,17,1
2024-08-28 00:00:00+00:00,116,22,691,6
2024-08-29 00:00:00+00:00,10,5,68,4
2024-08-30 00:00:00+00:00,14,4,88,4
2024-08-31 00:00:00+00:00,3,1,1,1
2024-09-01 00:00:00+00:00,2,2,0,0
2024-09-02 00:00:00+00:00,3,2,0,0
2024-09-03 00:00:00+00:00,0,0,15,3
2024-09-04 00:00:00+00:00,3,2,5,2
2024-09-05 00:00:00+00:00,0,0,9,1
2024-09-06 00:00:00+00:00,2,1,17,1
2024-09-07 00:00:00+00:00,0,0,2,1
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,2,1,10,1
2024-09-11 00:00:00+00:00,0,0,10,1
2024-09-12 00:00:00+00:00,3,1,8,1
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-15 00:00:00+00:00,3,2,0,0
2024-09-16 00:00:00+00:00,7,3,34,1
2024-09-17 00:00:00+00:00,2,1,16,1
2024-09-18 00:00:00+00:00,0,0,1,1
2024-09-19 00:00:00+00:00,0,0,1,1
2024-09-20 00:00:00+00:00,17,4,36,2
2024-09-21 00:00:00+00:00,0,0,1,1
2024-09-23 00:00:00+00:00,0,0,1,1
2024-09-24 00:00:00+00:00,4,1,31,1
2024-09-28 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,1,1,0,0
2024-10-02 00:00:00+00:00,0,0,5,2
2024-10-03 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,0,0,1,1
2024-10-05 00:00:00+00:00,3,2,0,0
2024-10-08 00:00:00+00:00,0,0,7,1
2024-10-09 00:00:00+00:00,3,1,0,0
2024-10-10 00:00:00+00:00,2,1,0,0
2024-10-11 00:00:00+00:00,1,1,1,1
